epoch,accuracy,auc_pr,auc_roc,learning_rate,loss,precision,recall,val_accuracy,val_auc_pr,val_auc_roc,val_loss,val_precision,val_recall
0,0.8165714144706726,0.9082515239715576,0.9005945324897766,0.0010000000474974513,0.40061721205711365,0.8311416506767273,0.7945713996887207,0.5,0.8652588129043579,0.8485511541366577,1.4144901037216187,0.0,0.0
1,0.9522857069969177,0.9890481233596802,0.9874314069747925,0.0010000000474974513,0.1341049075126648,0.9631363153457642,0.9405714273452759,0.5,0.899151086807251,0.8694986701011658,2.145111083984375,0.0,0.0
2,0.9715714454650879,0.9952206611633301,0.9953507781028748,0.0010000000474974513,0.07938256859779358,0.9760599732398987,0.9668571352958679,0.5173333287239075,0.9353192448616028,0.9130257964134216,1.4529370069503784,1.0,0.03466666489839554
3,0.978857159614563,0.9978799223899841,0.9979522228240967,0.0010000000474974513,0.0558532252907753,0.98050457239151,0.977142870426178,0.7879999876022339,0.9917082190513611,0.9900479912757874,0.42055994272232056,1.0,0.5759999752044678
4,0.9860000014305115,0.9990149736404419,0.9988439083099365,0.0010000000474974513,0.03800767660140991,0.988231897354126,0.9837142825126648,0.887333333492279,0.9946626424789429,0.9920417666435242,0.29583579301834106,1.0,0.7746666669845581
5,0.9897142648696899,0.9993712902069092,0.9992862343788147,0.0010000000474974513,0.02933688834309578,0.9902746081352234,0.9891428351402283,0.9819999933242798,0.9984225630760193,0.9980657696723938,0.051476579159498215,0.9839357137680054,0.9800000190734863
6,0.9900000095367432,0.9989710450172424,0.9992753267288208,0.0010000000474974513,0.02719438262283802,0.9914039969444275,0.9885714054107666,0.972000002861023,0.9965083599090576,0.9946977496147156,0.0916752964258194,0.994413435459137,0.9493333101272583
7,0.9901428818702698,0.9992267489433289,0.9993126392364502,0.0010000000474974513,0.025922741740942,0.9902829527854919,0.9900000095367432,0.9539999961853027,0.9917120933532715,0.987409770488739,0.19794607162475586,0.9913420081138611,0.9160000085830688
8,0.9925714135169983,0.9992371201515198,0.9993318915367126,0.0010000000474974513,0.02468709461390972,0.9920091032981873,0.99314284324646,0.9860000014305115,0.990474283695221,0.9942932724952698,0.06173057109117508,0.9827814698219299,0.9893333315849304
9,0.9945714473724365,0.9996623396873474,0.9995414614677429,0.0010000000474974513,0.01741710491478443,0.994006872177124,0.9951428771018982,0.9853333234786987,0.9882152080535889,0.9922080636024475,0.07401468604803085,0.9905660152435303,0.9800000190734863
10,0.9961428642272949,0.9996309280395508,0.9997832179069519,0.0010000000474974513,0.011083146557211876,0.9957179427146912,0.99657142162323,0.9340000152587891,0.9844425916671753,0.9762399792671204,0.3030638098716736,0.9909502267837524,0.8759999871253967
11,0.9977142810821533,0.999583899974823,0.9996762871742249,0.0005000000237487257,0.009001601487398148,0.9977142810821533,0.9977142810821533,0.9906666874885559,0.9944421052932739,0.9957893490791321,0.057122666388750076,0.9959568977355957,0.9853333234786987
12,0.9992856979370117,0.9999903440475464,0.9999905228614807,0.0005000000237487257,0.0028679838869720697,0.999143123626709,0.9994285702705383,0.9860000014305115,0.9936085939407349,0.99444979429245,0.06572412699460983,0.9945725798606873,0.9773333072662354
13,0.9997143149375916,0.9999982118606567,0.9999982118606567,0.0005000000237487257,0.0017721516778692603,0.9997143149375916,0.9997143149375916,0.9879999756813049,0.9936635494232178,0.9944684505462646,0.06472501903772354,0.9945945739746094,0.981333315372467
14,0.9995714426040649,0.9999973177909851,0.9999972581863403,0.0005000000237487257,0.0016801528399810195,0.999714195728302,0.9994285702705383,0.9860000014305115,0.9934584498405457,0.99427729845047,0.07777813076972961,0.9905787110328674,0.981333315372467
15,0.9998571276664734,0.9999992847442627,0.9999992847442627,0.0005000000237487257,0.0009722376707941294,0.9997143745422363,1.0,0.9893333315849304,0.9937122464179993,0.9945102334022522,0.06009286642074585,0.995945930480957,0.9826666712760925
16,0.9997143149375916,0.9999999403953552,0.9999998807907104,0.0002500000118743628,0.0006230581784620881,0.9997143149375916,0.9997143149375916,0.9886666536331177,0.9937425851821899,0.9945377707481384,0.05956771969795227,0.9959404468536377,0.981333315372467
17,0.9997143149375916,0.999998927116394,0.999998927116394,0.0002500000118743628,0.0010677622631192207,0.9997143149375916,0.9997143149375916,0.9886666536331177,0.9936894774436951,0.9944844245910645,0.06247013807296753,0.9959404468536377,0.981333315372467
18,0.9994285702705383,0.9999996423721313,0.9999995827674866,0.0002500000118743628,0.0008760910131968558,0.9994285702705383,0.9994285702705383,0.984666645526886,0.9936408996582031,0.9944390654563904,0.066818006336689,0.9905533194541931,0.9786666631698608
19,1.0,1.0,0.9999999403953552,0.0002500000118743628,0.0003610978601500392,1.0,1.0,0.9879999756813049,0.993715226650238,0.9945101737976074,0.06243407726287842,0.9959349632263184,0.9800000190734863
20,1.0,0.9999999403953552,0.9999998807907104,0.0002500000118743628,0.000394454546039924,1.0,1.0,0.9879999756813049,0.9937198758125305,0.9945119619369507,0.06295300275087357,0.9959349632263184,0.9800000190734863
